following_count,freq
0.0,10557.0
3.0,2130.0
5.0,1137.0
1.0,9759.0
12.0,346.0
8.0,600.0
2.0,3739.0
4.0,1483.0
557.0,1.0
22.0,122.0
145.0,3.0
6.0,875.0
10.0,457.0
7.0,723.0
363.0,1.0
85.0,11.0
15.0,236.0
44.0,40.0
11.0,355.0
20.0,166.0
14.0,295.0
31.0,77.0
9.0,465.0
28.0,80.0
13.0,297.0
523.0,1.0
140.0,4.0
40.0,44.0
19.0,148.0
29.0,81.0
2089.0,1.0
41.0,42.0
16.0,211.0
64.0,18.0
30.0,65.0
769.0,1.0
553.0,2.0
83.0,12.0
308.0,1.0
481.0,2.0
35.0,48.0
134.0,4.0
57.0,20.0
97.0,8.0
32.0,65.0
1041.0,1.0
21.0,127.0
225.0,3.0
38.0,49.0
23.0,98.0
80.0,14.0
18.0,169.0
119.0,4.0
37.0,51.0
25.0,94.0
52.0,25.0
525.0,1.0
17.0,205.0
204.0,2.0
63.0,22.0
24.0,107.0
548.0,1.0
34.0,76.0
218.0,2.0
33.0,61.0
168.0,2.0
81.0,14.0
42.0,48.0
36.0,40.0
49.0,28.0
47.0,29.0
26.0,101.0
65.0,18.0
78.0,9.0
39.0,46.0
45.0,27.0
302.0,1.0
27.0,74.0
328.0,1.0
275.0,1.0
46.0,34.0
43.0,39.0
102.0,7.0
187.0,3.0
56.0,22.0
67.0,13.0
54.0,28.0
167.0,5.0
53.0,25.0
643.0,1.0
421.0,1.0
590.0,1.0
520.0,1.0
1581.0,2.0
121.0,5.0
96.0,6.0
69.0,22.0
48.0,28.0
84.0,9.0
72.0,24.0
50.0,31.0
341.0,1.0
93.0,9.0
127.0,3.0
116.0,9.0
1068.0,1.0
59.0,11.0
360.0,1.0
104.0,9.0
58.0,26.0
75.0,12.0
173.0,2.0
61.0,13.0
66.0,12.0
51.0,34.0
137.0,7.0
122.0,6.0
68.0,16.0
70.0,17.0
107.0,5.0
130.0,5.0
95.0,4.0
118.0,6.0
648.0,1.0
99.0,5.0
178.0,2.0
164.0,2.0
1257.0,1.0
77.0,8.0
223.0,1.0
126.0,6.0
208.0,3.0
132.0,5.0
329.0,1.0
109.0,7.0
143.0,6.0
55.0,25.0
144.0,6.0
193.0,4.0
5565.0,1.0
157.0,6.0
185.0,1.0
158.0,3.0
146.0,5.0
74.0,8.0
62.0,19.0
714.0,1.0
677.0,1.0
94.0,8.0
139.0,1.0
76.0,10.0
86.0,14.0
71.0,6.0
230.0,4.0
417.0,1.0
131.0,4.0
114.0,8.0
215.0,2.0
87.0,7.0
73.0,11.0
1008.0,1.0
842.0,1.0
89.0,10.0
79.0,11.0
324.0,5.0
192.0,1.0
364.0,1.0
406.0,1.0
60.0,17.0
190.0,3.0
432.0,1.0
100.0,9.0
1856.0,1.0
380.0,1.0
106.0,6.0
105.0,6.0
175.0,3.0
582.0,1.0
291.0,1.0
1066.0,1.0
170.0,1.0
973.0,1.0
88.0,6.0
108.0,7.0
90.0,15.0
152.0,3.0
5302.0,1.0
82.0,14.0
142.0,3.0
209.0,1.0
163.0,2.0
1182.0,1.0
189.0,4.0
276.0,1.0
117.0,7.0
177.0,2.0
725.0,1.0
138.0,4.0
188.0,1.0
390.0,2.0
166.0,2.0
147.0,2.0
1653.0,1.0
701.0,1.0
428.0,1.0
246.0,1.0
259.0,1.0
2702.0,1.0
182.0,3.0
425.0,2.0
266.0,1.0
418.0,1.0
103.0,9.0
111.0,3.0
293.0,1.0
313.0,4.0
386.0,1.0
281.0,2.0
1526.0,1.0
237.0,1.0
4110.0,1.0
298.0,1.0
239.0,1.0
431.0,1.0
115.0,4.0
202.0,1.0
220.0,1.0
786.0,1.0
172.0,1.0
241.0,2.0
247.0,3.0
272.0,2.0
136.0,6.0
151.0,3.0
110.0,5.0
194.0,2.0
1935.0,1.0
92.0,8.0
156.0,3.0
148.0,2.0
268.0,1.0
123.0,6.0
536.0,1.0
470.0,1.0
316.0,2.0
153.0,2.0
179.0,3.0
234.0,1.0
91.0,10.0
349.0,1.0
141.0,2.0
101.0,5.0
180.0,3.0
98.0,5.0
350.0,1.0
249.0,1.0
1419.0,1.0
1216.0,1.0
196.0,1.0
195.0,2.0
169.0,5.0
352.0,1.0
113.0,6.0
493.0,1.0
532.0,1.0
382.0,1.0
1451.0,1.0
159.0,1.0
248.0,1.0
494.0,2.0
128.0,4.0
120.0,3.0
960.0,1.0
777.0,1.0
343.0,1.0
353.0,1.0
7292.0,1.0
10747.0,1.0
4784.0,1.0
315.0,1.0
251.0,1.0
3741.0,1.0
7112.0,1.0
133.0,2.0
287.0,1.0
321.0,1.0
183.0,1.0
160.0,2.0
474.0,1.0
562.0,1.0
206.0,1.0
929.0,1.0
946.0,1.0
2578.0,1.0
149.0,1.0
670.0,1.0
781.0,1.0
326.0,1.0
640.0,1.0
174.0,3.0
500.0,1.0
452.0,1.0
634.0,1.0
549.0,1.0
264.0,1.0
444.0,1.0
290.0,1.0
212.0,1.0
1003.0,1.0
228.0,2.0
334.0,1.0
258.0,2.0
283.0,2.0
155.0,4.0
125.0,3.0
503.0,1.0
262.0,2.0
512.0,1.0
611.0,2.0
1140.0,1.0
317.0,1.0
235.0,2.0
362.0,1.0
811.0,1.0
1306.0,1.0
7009.0,1.0
231.0,1.0
279.0,1.0
2620.0,1.0
307.0,1.0
2724.0,1.0
5050.0,1.0
265.0,1.0
393.0,1.0
1072.0,1.0
184.0,1.0
1985.0,1.0
1190.0,1.0
633.0,1.0
814.0,1.0
211.0,1.0
260.0,2.0
1156.0,1.0
226.0,1.0
340.0,1.0
165.0,1.0
270.0,1.0
198.0,1.0
899.0,1.0
490.0,1.0
150.0,2.0
311.0,1.0
650.0,1.0
257.0,1.0
292.0,1.0
5339.0,1.0
332.0,1.0
306.0,1.0
238.0,1.0
458.0,1.0
191.0,1.0
335.0,1.0
305.0,1.0
154.0,1.0
465.0,1.0
221.0,1.0
219.0,1.0
749.0,1.0
846.0,1.0
979.0,1.0
1036.0,1.0
1168.0,1.0
659.0,1.0
4338.0,1.0
486.0,1.0
669.0,1.0
1912.0,1.0
519.0,1.0
863.0,1.0
1112.0,1.0
373.0,1.0
269.0,1.0
4830.0,1.0
1599.0,1.0
885.0,1.0
8407.0,1.0
2900.0,1.0
692.0,1.0
870.0,1.0
1079.0,1.0
224.0,1.0
384.0,1.0
551.0,1.0
1016.0,1.0
1005.0,1.0
2830.0,1.0
436.0,1.0
9234.0,1.0
1715.0,1.0
1718.0,1.0
5053.0,1.0
2289.0,1.0
1278.0,1.0
3613.0,1.0
6344.0,1.0
5061.0,1.0
449.0,1.0
674.0,1.0
197.0,1.0
369.0,1.0
162.0,1.0
499.0,1.0
4103.0,1.0
612.0,1.0
9292.0,1.0
1429.0,1.0
245.0,1.0
1443.0,1.0
707.0,1.0
6900.0,1.0
2319.0,1.0
2418.0,1.0
